Distretto,Codice,Nome,Indirizzo,Latitudine,Longitudine
9,TOIC8A100T,ISTITUTO COMPRENSIVO - I.C. VITTORINO DA FELTRE - TO,VIA FINALMARINA 5 - TORINO,45.0327427,7.6685338
9,TOMM26100N,TORINO - PIERO CALAMANDREI (PAR. TEMPO PROLUNGATO),"CORSO B. CROCE, 17",,
10,TOCT706007,CENTRO TERRITORIALE PERMANENTE - ISTRUZIONE IN ETA' ADULTA,"STRADA CASTELLO DI MIRAFIORI, 55 - TORINO",45.0119293,7.6301318
10,TOMM866013,I.C. CAIROLI-VIA TORRAZZA P.TE (ASSOCIATA A TOIC866002),VIA TORRAZZA P.TE N. 10 - TORINO,,
10,TOIC866002,ISTITUTO COMPRENSIVO - I.C. CAIROLI - TO,VIA TORRAZZA PIEMONTE 10 - TORINO,45.0165997,7.6559581
10,TOIC82000L,ISTITUTO COMPRENSIVO - I.C. SALVEMINI - TO,VIA NEGARVILLE 30/6 - TORINO,45.0190997,7.6084501
10,TOMM70601E,T. DE MAURO - SEZ. CARCERARIA (SEDE CARCERARIA),VIA BERRUTI E FERRERO 3,45.0288393,7.6444689
24,TOCT707003,CENTRO TERRITORIALE PERMANENTE - ISTRUZIONE IN ETA' ADULTA,VIA OLEVANO 81 - GRUGLIASCO,45.0584276,7.5731974
24,TOMM8CH01V,I.C. COLLEGNO III - GRAMSCI (ASSOCIATA A TOIC8CH00T),VIA G. DI VITTORIO 18 - COLLEGNO,,
24,TOMM85901X,I.C.COLLEGNO B. PARADISO -FRANK (ASSOCIATA A TOIC85900V),"VIA MIGLIETTI, 9 - COLLEGNO",45.0761018,7.5970573
24,TOMM8CG013,IC COLLEGNO MARCONI-DON MINZONI (ASSOCIATA A TOIC8CG002),VIA DONIZETTI 30,45.0760024,7.5699088
24,TOIC85900V,ISTITUTO COMPRENSIVO - I.C. BORGATA PARADISO,"VIA ETTORE MIGLIETTI, 9 - COLLEGNO",45.0761018,7.5970573
24,TOIC8CG002,ISTITUTO COMPRENSIVO - I.C. COLLEGNO G. MARCONI,VIA DONIZETTI 30 - COLLEGNO,45.0760024,7.5699088
24,TOIC8CH00T,ISTITUTO COMPRENSIVO - I.C. COLLEGNO III,VIALE DEI PARTIGIANI 36 - COLLEGNO,45.0914983,7.5715108
24,TOMM86201Q,I.C. GRUGLIASCO - 66 MARTIRI (ASSOCIATA A TOIC86200P),VIA OLEVANO 81 - GRUGLIASCO,45.0584276,7.5731974
24,TOMM81201P,I.C. GRUGLIASCO KING - LEVI (PAR. TEMPO PROL. - ASSOCIATA A,VIALE RADICH 4 - B.TA PARADISO,,
24,TOMM86701V,I.C.GRUGLIASCO DI NANNI-E.UNITA (PAR. TEMPO PROL. - ASSOCIATA A,"VIA COTTA, 18 - GRUGLIASCO",45.0615538,7.5795791
24,TOIC86700T,ISTITUTO COMPRENSIVO - I.C. GRUGLIASCO/DI NANNI,VIA ROMA 11 - GRUGLIASCO,45.0682367,7.5785028
24,TOIC86200P,ISTITUTO COMPRENSIVO - I.C. GRUGLIASCO/66 MARTIRI,"VIA OLEVANO, 81 - GRUGLIASCO",45.0584276,7.5731974
25,TOCT70800V,CENTRO TERRITORIALE PERMANENTE - ISTRUZIONE IN ETA' ADULTA,"VIA ALLENDE, 3 - RIVOLI",45.0757036,7.5449735
25,TOMM33200E,CPIA 5 TORINO,VIA ALLENDE 5,45.075533,7.5455501
25,TOMM8A801N,I.C. RIVOLI - PIERO GOBETTI (PAR. TEMPO PROL. - ASSOCIATA A TOIC8A800L),VIA GATTI 18,45.0540468,7.6961307
25,TOMM87201A,I.C. RIVOLI - PRIMO LEVI (ASSOCIATA A TOIC872009),VIA SESTRIERE N. 60 - RIVOLI,45.0744802,7.5429918
25,TOMM87101E,I.C. RIVOLI MATTEOTTI-MATTEOTTI (ASSOCIATA A TOIC87100D),VIA MONTE BIANCO 23 - BORGO NUOVO,45.0724566,7.5042528
25,TOIC8A800L,ISTITUTO COMPRENSIVO - I.C. RIVOLI/GOBETTI,VIA GATTI 18 - RIVOLI,45.064653,7.5248134
25,TOIC8BL004,ISTITUTO COMPRENSIVO - I.C. RIVOLI/GOZZANO,VIA ALBA 15 - RIVOLI,45.0658512,7.5235124
25,TOIC872009,ISTITUTO COMPRENSIVO - I.C. RIVOLI/LEVI,VIA SESTRIERE 60 - RIVOLI,45.0738446,7.5488239
25,TOIC87100D,ISTITUTO COMPRENSIVO - I.C. RIVOLI/MATTEOTTI,VIA MONTE BIANCO 23 - RIVOLI,45.0724566,7.5042528
25,TOMM8AF023,I.C. BUTTIGLIERA - ROSTA (PAR. TEMPO PROL. - ASSOCIATA A TOIC8AF001),VIA BASTONE 34BIS - ROSTA,45.0680133,7.4668254
25,TOMM8BL015,I.C. RIVOLI GOZZANO-VILLARBASSE (PAR. TEMPO PROL. - ASSOCIATA A,VIA SAN MARTINO 24,45.4675678,7.8787743
26,TOMM89801E,I.C. ALPIGNANO - TALLONE (ASSOCIATA A TOIC89800D),VIA PIANEZZA 31,45.0995475,7.5296729
26,TOIC89800D,ISTITUTO COMPRENSIVO - I.C. ALPIGNANO,VIA PIANEZZA 31 - ALPIGNANO,45.0995475,7.5296729
26,TOMM89001X,I.C. DRUENTO - DON MILANI (ASSOCIATA A TOIC89000V),"VIA MANZONI, 13 - DRUENTO",45.1312655,7.5734718
26,TOIC89000V,ISTITUTO COMPRENSIVO - I.C. DRUENTO,VIA MANZONI 11 - DRUENTO,45.1304284,7.5748369
26,TOMM89701P,I.C. PIANEZZA - GIOVANNI XXIII (ASSOCIATA A TOIC89700N),VIA MANZONI 5 - PIANEZZA,45.1020473,7.5485028
26,TOIC89700N,ISTITUTO COMPRENSIVO - I.C. PIANEZZA,VIA MANZONI 5 - PIANEZZA,45.1020473,7.5485028
26,TOMM8A401A,I.C. VENARIA II - DON MILANI (PAR. TEMPO PROL. - ASSOCIATA A TOIC8A4009),CORSO PAPA GIOVANNI XXIII 54 - VENARIA REALE,45.1259825,7.6351911
26,TOIC8A300D,ISTITUTO COMPRENSIVO - I.C. VENARIA I,PIAZZA VITTORIO VENETO 2 - VENARIA REALE,45.1330116,7.6326072
26,TOIC8A4009,ISTITUTO COMPRENSIVO - I.C. VENARIA II,CORSO PAPA GIOVANNI XXIII 54 - VENARIA REALE,45.1259825,7.6351911
27,TOCT719009,CENTRO TERRITORIALE PERMANENTE - ISTRUZIONE IN ETA' ADULTA,"VIA SAN GIOVANNI BOSCO, 17 - CIRIE'",45.2297103,7.5999804
27,TOMM89101Q,I.C. BORGARO TORINESE - C.LEVI (ASSOCIATA A TOIC89100P),VIA SPAGNA 4,45.1005296,7.5893621
27,TOIC89100P,ISTITUTO COMPRENSIVO - I.C. BORGARO,VIA CIRIE' 52 - BORGARO TORINESE,45.1535409,7.6571785
27,TOMM89201G,I.C. CASELLE TORINESE - DEMONTE (ASSOCIATA A TOIC89200E),PIAZZA RESISTENZA 1,44.8495521,7.3430967
27,TOIC89200E,ISTITUTO COMPRENSIVO - I.C. CASELLE TORINESE,VIA GUIBERT 3 - CASELLE TORINESE,45.1767787,7.6463371
27,TOMM8AK01P,I.C. CIRIE' I - VIA PARCO (PAR. TEMPO PROL. - ASSOCIATA A TOIC8AK00N),"VIA PARCO, 33 - CIRIE'",45.2288685,7.6080605
27,TOIC8AK00N,ISTITUTO COMPRENSIVO - I.C. CIRIE' I,VIA PARCO 33 - CIRIE',45.2288685,7.6080605
27,TOIC8AL00D,ISTITUTO COMPRENSIVO - I.C. CIRIE' II,VIA ROMA 42 - CIRIE',45.2335072,7.6073149
27,TOMM828018,I.C. FIANO - ROSSELLI (PAR. TEMPO PROL. - ASSOCIATA A TOIC828007),VIA CASTELLO 7 - FIANO,45.2194093,7.5185079
27,TOIC828007,ISTITUTO COMPRENSIVO - I.C. FIANO,VIA CASTELLO 7 - FIANO,45.2194093,7.5185079
27,TOMM829025,I.C. BALANGERO-MATHI-VITTONE (PAR. TEMPO PROL. - ASSOCIATA A,VIA CAPITANO GATTI 2,45.2573134,7.5395516
27,TOMM830018,I.C. NOLE - PADRE V. MERLO PICH (PAR. TEMPO PROL. - ASSOCIATA A,VIA MARTIRI LIBERTA' 16,45.0634889,7.7033905
27,TOIC830007,ISTITUTO COMPRENSIVO - I.C. NOLE,VIA MARTIRI DELLA LIBERTA' 16 - NOLE,45.2396528,7.5740312
27,TOMM828029,I.C. FIANO - ROBASSOMERO (ASSOCIATA A TOIC828007),VIA VITTORIO VENETO 2 - ROBASSOMERO,45.1972773,7.5732362
27,TOMM82701C,I.C. CORIO - ROCCA - RONCALLI (PAR. TEMPO PROL. - ASSOCIATA A,VIA MADONNA DELLA NEVE 1 - ROCCA CANAVESE,45.3098184,7.5785915
27,TOMM8AL01E,I.C. CIRIE' II - SAN CARLO (ASSOCIATA A TOIC8AL00D),"STRADA VAUDA CANAVESE, 15",45.2558179,7.6135581
27,TOMM831025,IC S.MAURIZIO-S.FRANCESCO-COSTA (ASSOCIATA A TOIC831003),VIA ROMA 56 - SAN FRANCESCO AL CAMPO,45.2269908,7.6536391
27,TOMM831014,I.C. S. MAURIZIO - A. REMMERT (PAR. TEMPO PROL. - ASSOCIATA A,"VIA L.A. BO, 2 - SAN MAURIZIO CANAVESE",45.2166755,7.6312409
27,TOIC831003,ISTITUTO COMPRENSIVO - I.C. SAN MAURIZIO C.SE,"VIA GENERAL CABRERA,12 - SAN MAURIZIO CANAVESE",45.2115486,7.6282158
27,TOMM860014,I.C. MAPPANO - G. FALCONE (ASSOCIATA A TOIC860003),VIA TIBALDI 70 - MAPPANO,45.1462141,7.7033936
27,TOIC860003,ISTITUTO COMPRENSIVO - I.C. MAPPANO,VIA TIBALDI 70 - MAPPANO,45.1462141,7.7033936
28,TOCT70900P,CENTRO TERRITORIALE PERMANENTE - ISTRUZIONE IN ETA' ADULTA,"VIA ZERBONI, 1 - SETTIMO",45.1396043,7.7735635
28,TOMM86101X,I.C. LEINI' - CASALEGNO (ASSOCIATA A TOIC86100V),VIA MAESTRO BATTISTINO DEPAOLI N?4 - LEINI,,
28,TOIC86100V,ISTITUTO COMPRENSIVO - I.C. LEINI',VIA MAESTRO BATTISTINO DEPAOLI N?4 - LEINI,,
28,TOMM8BG01C,I.C. S.BENIGNO CAN.-C/O SC.ELEM (PAR. TEMPO PROL. - ASSOCIATA A,CORSO ITALIA 34,44.9523078,7.6247972
28,TOIC8BG00B,ISTITUTO COMPRENSIVO - I.C. SAN BENIGNO C.SE,"CORSO ITALIA, 34 - SAN BENIGNO CANAVESE",45.2258381,7.7846149
28,TOMM8A901D,I.C. SETTIMO I - GOBETTI (PAR. TEMPO PROL. - ASSOCIATA A TOIC8A900C),"VIA MILANO, 4",45.1406644,7.7759988
28,TOMM8BB019,I.C. SETTIMO III - A. GRAMSCI (PAR. TEMPO PROL. - ASSOCIATA A,VIA S. ALLENDE 1,,
28,TOMM8BC015,I.C. SETTIMO IV - CALVINO (PAR. TEMPO PROL. - ASSOCIATA A TOIC8BC004),"VIALE PIAVE, 21",45.1328813,7.769322
28,TOIC8A900C,ISTITUTO COMPRENSIVO - I.C. SETTIMO I,VIA BUONARROTI 8,45.0513627,7.6763345
28,TOIC8BA00C,ISTITUTO COMPRENSIVO - I.C. SETTIMO II,VIA CUNEO 1 - SETTIMO TORINESE,45.1312299,7.7606193
28,TOIC8BB008,ISTITUTO COMPRENSIVO - I.C. SETTIMO III,VIA ALLENDE 1 - SETTIMO TORINESE,45.13746,7.757545
28,TOIC8BC004,ISTITUTO COMPRENSIVO - I.C. SETTIMO IV,VIALE PIAVE 20 - SETTIMO TORINESE,45.1328064,7.7681447
28,TOMM8BH018,I.C. VOLPIANO - ALIGHIERI (PAR. TEMPO PROL. - ASSOCIATA A TOIC8BH007),VIA SOTTORIPA 3,45.1999784,7.770501
28,TOIC8BH007,ISTITUTO COMPRENSIVO - I.C. VOLPIANO,VIALE C.A. DALLA CHIESA 1 - VOLPIANO,,
29,TOMM85002E,I.C. CASTIGLIONE - FERMI (ASSOCIATA A TOIC85000C),VIA DON BROVERO 11,45.1205296,7.816787
